id_depute,nom,prenom,lien,naissance_j,naissance_m,naissance_a,deces_j,deces_m,deces_a,groupe_parlementaire,departement
79,Alduy,Paul,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/79,4,10,1914,23,1,2006,Socialiste,Pyrénées-Orientales
128,André,"Adrien, Baptiste, Honoré",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/128,29,5,1884,22,4,1965,Républicain radical et radical-socialiste,Vienne
153,Ansart,Gustave,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/153,5,3,1923,20,9,1990,Communiste,Nord
165,Anxionnaz,"Paul, Marius",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/165,31,12,1902,20,2,1997,Républicain radical et radical-socialiste,Marne
176,Arbeltier,"René, Albert",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/176,23,1,1897,10,9,1979,Socialiste,Seine-et-Marne
196,Arnal,Franck,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/196,30,10,1898,23,6,1985,Socialiste,Var
212,Arrighi,Pascal,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/212,16,6,1921,19,7,2004,Républicain radical et radical-socialiste,Corse
227,Auban,"Achille, Joseph",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/227,14,4,1912,12,4,1973,Socialiste,Haute-Garonne
311,Babet,"Raphaël, Jean-Baptiste, Benjamin",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/311,27,6,1894,30,7,1957,Union démocratique et socialiste de la Résistance et du RDA,La Réunion
324,Badie,"Vincent, Henri",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/324,16,7,1902,8,9,1989,Républicain radical et radical-socialiste,Hérault
352,Ballanger,"Robert, Victor, Marcel, François",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/352,2,11,1912,26,1,1981,Communiste,Seine-et-Oise
393,Barbot,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/393,2,9,1907,26,10,1998,Communiste,Nièvre
405,Barel,Joseph dit Virgile,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/405,17,12,1889,7,11,1979,Communiste,Alpes-Maritimes
441,Barry,Diawadou,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/441,10,5,1916,30,6,1969,Républicain radical et radical-socialiste,Guinée
445,Barthélémy,"André, Jules, François",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/445,16,6,1897,30,1,1980,Communiste,Jura
453,Bartolini,"Jean, Baptiste",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/453,10,5,1899,1,2,1977,Communiste,Var
507,Baurens,"Alexandre, Sylvain, Justin",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/507,20,2,1900,23,7,1979,Socialiste,Gers
511,Baylet,"Jean, André, Bernard",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/511,6,4,1904,29,5,1959,Républicain radical et radical-socialiste,Tarn-et-Garonne
571,Bégouin,"Lucien, Louis, Marie",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/571,17,4,1908,27,12,1998,Républicain radical et radical-socialiste,Seine-et-Marne
616,Béné,Maurice,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/616,24,7,1884,19,12,1960,Républicain radical et radical-socialiste,Seine-et-Oise
628,Benoist,"Charles, Claude",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/628,28,1,1901,15,2,1988,Communiste,Seine-et-Oise
633,Benoit,"Alcide, Alfred",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/633,15,6,1899,23,9,1992,Communiste,Marne
724,Berthet,"Alix, Edmond, Fernand",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/724,15,7,1907,11,12,1973,Socialiste,Isère
756,Besset,"Pierre, Jean",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/756,17,2,1907,10,10,1979,Communiste,Puy-de-Dôme
806,Billat,Paul,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/806,24,4,1904,30,4,1996,Communiste,Isère
809,Billères,"René, Sylvain, Edouard",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/809,29,7,1910,2,10,2004,Républicain radical et radical-socialiste,Hautes-Pyrénées
815,Billoux,François,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/815,21,5,1903,14,1,1978,Communiste,Bouches-du-Rhône
819,Binot,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/819,2,7,1911,9,11,1982,Socialiste,Seine-Maritime
828,Bissol,Léopold,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/828,8,10,1889,18,9,1982,Communiste,Martinique
875,Blondeau ,"André, Louis",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/875,25,10,1911,13,5,1996,Communiste,Indre
883,Boccagny,"Albert, François",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/883,28,5,1894,21,11,1983,Communiste,Haute-Savoie
888,Bocoum,"Barema, Kissourou",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/888,1,1,1914,3,3,1973,Union démocratique et socialiste de la Résistance et du RDA,Soudan
907,Boisseau,"Roger, Henri, Louis",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/907,21,6,1926,15,12,2007,Communiste,Seine
933,Bonnaire,"André, Jean, Marie",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/933,1,2,1901,21,7,1962,Républicain radical et radical-socialiste,Nord
937,Bonnefous,"Edouard, Henri, Jean",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/937,24,7,1907,24,2,2007,Union démocratique et socialiste de la Résistance et du RDA,Seine-et-Oise
960,Bonte,"Florimond, Paul, Denis, Louis, Joseph",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/960,22,1,1890,19,11,1977,Communiste,Seine
1037,Bouhey,"Jean, Baptiste, Georges",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1037,23,10,1898,12,6,1963,Socialiste,Côte-d'Or
1064,Bouloux,"Alphonse, Alexandre",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1064,30,9,1887,15,4,1978,Communiste,Vienne
1072,Bourbon,Henri,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1072,10,11,1906,16,6,1996,Communiste,Ain
1089,Bourgès-Maunoury,"Maurice, Jean, Marie",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1089,19,7,1914,10,2,1993,Républicain radical et radical-socialiste,Haute-Garonne
1121,Boutard,"Madeleine, Henriette",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1121,16,12,1913,18,7,1984,Communiste,Indre-et-Loire
1124,Boutavant,"Rémy, François",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1124,26,2,1911,25,12,1979,Communiste,Saône-et-Loire
1227,Briffod,Henri,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1227,20,12,1913,30,6,1987,Socialiste,Haute-Savoie
1245,Brocas,"Patrice, Pierre, François",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1245,28,11,1919,28,7,1968,Républicain radical et radical-socialiste,Gers
1265,Bruelle,Louis,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1265,17,2,1918,25,6,1988,Républicain radical et radical-socialiste,Madagascar
1346,Cachin,"Marcel, Gilles",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1346,20,9,1869,12,2,1958,Communiste,Seine
1357,Cagne,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1357,24,7,1907,14,10,1958,Communiste,Rhône
1367,Caillavet,"Henri, Guy, Pierre, Emile",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1367,13,2,1914,27,2,2013,Républicain radical et radical-socialiste,Lot-et-Garonne
1373,Calas,"Raoul, Joseph, Emile",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1373,25,3,1899,23,12,1978,Communiste,Hérault
1413,Cance,"René, Louis",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1413,29,4,1895,30,7,1982,Communiste,Seine-Maritime
1477,Cartier,"Marius, Alexandre",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1477,5,1,1913,31,12,1992,Communiste,Haute-Marne
1476,Cartier,"Marcel, Julien, Ursin, René",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1476,24,7,1895,1,7,1965,Socialiste,Drôme
