lien,groupe_parlementaire,departement
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/79/(legislature)/47,Socialiste,Pyrénées-Orientales
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/94/(legislature)/47,Indépendants et paysans d'action sociale,Aisne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/97/(legislature)/47,Union et fraternité francaise,Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/132/(legislature)/47,Indépendants et paysans d'action sociale,Meurthe-et-Moselle
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/128/(legislature)/47,Républicain radical et radical-socialiste,Vienne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/145/(legislature)/47,Mouvement républicain populaire,Maine-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/153/(legislature)/47,Communiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/159/(legislature)/47,Indépendants et paysans d'action sociale,Ain
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/161/(legislature)/47,Paysan,Haute-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/165/(legislature)/47,Républicain radical et radical-socialiste,Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/166/(legislature)/47,Indépendants et paysans d'action sociale,Dahomey
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/176/(legislature)/47,Socialiste,Seine-et-Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/177/(legislature)/47,Mouvement républicain populaire,Bas-Rhin
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/196/(legislature)/47,Socialiste,Var
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/212/(legislature)/47,Républicain radical et radical-socialiste,Corse
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/226/(legislature)/47,Indépendants d'outre-mer,Gabon
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/227/(legislature)/47,Socialiste,Haute-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/311/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,La Réunion
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/320/(legislature)/47,Mouvement républicain populaire,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/324/(legislature)/47,Républicain radical et radical-socialiste,Hérault
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/347/(legislature)/47,Mouvement républicain populaire,Haut-Rhin
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/352/(legislature)/47,Communiste,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/393/(legislature)/47,Communiste,Nièvre
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/405/(legislature)/47,Communiste,Alpes-Maritimes
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/406/(legislature)/47,Indépendants et paysans d'action sociale,Seine-et-Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/428/(legislature)/47,Indépendants et paysans d'action sociale,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/440/(legislature)/47,Mouvement républicain populaire,Haute-Loire
